,Profit,Recency,Frequency,Monetary,Variance,SegmentId
351,360,59,1,4949.55,2,0
352,522,3,24,21243.0,18,1
353,38,35,6,433.64,5,0
354,50,52,1,1025.16,2,0
355,366,4,21,11088.62,11,1
356,163,4,11,3299.13,8,1
357,298,4,25,5378.96,12,1
358,110,4,6,3813.61,14,0
359,16392,4,35,664926.51,100,1
360,59,18,4,3726.16,12,0
361,425,18,9,26582.44,16,1
362,1022,5,16,39409.47,40,1
363,922,52,3,88554.77,28,0
364,297,4,13,6474.4,10,1
365,99,18,6,2642.3,9,0
366,521,6,16,25645.91,26,1
367,576,1,3,40867.27,14,1
368,9,3,3,88.56,1,0
369,1137,4,24,97074.2,48,1
370,332,11,9,7422.11,17,0
371,54,3,2,2275.66,7,0
372,240,54,1,7439.4,1,0
373,824,3,27,32708.8,46,1
374,1248,5,19,93521.74,54,1
375,120,42,6,2187.76,9,0
376,444,3,21,11420.25,24,1
377,385,5,21,12742.92,23,1
378,532,5,15,36371.0,23,1
379,1504,1,7,165526.76,35,1
380,32,7,2,540.88,4,0
381,16,45,1,268.12,2,0
382,1497,9,19,102748.32,45,1
383,25,32,1,283.1,2,0
384,168,10,5,4111.39,11,0
385,1816,2,27,26988.78,33,1
386,318,77,1,2286.95,1,0
387,695,11,14,22351.99,33,1
388,175,5,11,6153.52,15,1
389,601,3,22,20533.99,19,1
390,74,11,10,979.88,6,0
391,186,5,9,7121.49,7,0
392,501,7,26,15946.84,18,1
393,681,4,26,40525.02,24,1
394,314,47,7,13519.64,21,0
395,4438,63,1,6166031.04,57,1
396,10,7,1,395.76,2,0
397,165,4,9,3953.35,8,0
398,193,2,9,3757.31,11,0
399,45822,4,15,32539936.23,130,2
400,61,35,2,3687.29,7,0
401,30,47,1,256.24,2,0
402,224,7,9,4270.27,8,0
403,873,3,24,9282.33,13,1
404,1566,1,4,169023.92,24,1
405,10,42,1,58.46,1,0
406,103,6,6,3486.62,8,0
407,81,32,2,1254.59,3,0
408,79,7,15,1550.04,5,0
409,18561,3,65,1118569.77,90,1
410,531,5,6,65949.45,21,1
411,126,7,8,2524.5,7,0
412,111,5,8,3603.23,9,0
413,453,3,9,25455.43,22,1
414,79,5,5,1445.92,7,0
415,9,54,1,59.25,1,0
416,257,5,11,10279.22,8,1
417,426,3,17,11221.6,13,1
418,791,5,19,56997.26,36,1
419,902,18,11,65904.96,37,1
420,383,7,17,18309.41,20,1
421,57,10,13,564.5,4,0
422,12,40,1,283.56,2,0
423,74,69,2,3956.3,12,0
424,653,5,18,24928.34,31,1
425,453,4,8,18616.23,15,1
426,451,4,15,19719.87,17,1
427,193,35,3,3040.86,7,0
428,1865,5,28,86601.45,59,1
429,462,5,18,20905.01,26,1
430,229,2,20,5995.59,10,1
431,24,87,1,463.84,2,0
432,128,5,6,2105.55,7,0
433,241,6,19,5052.0,9,1
434,74,49,4,1122.54,5,0
435,124,49,5,1810.72,6,0
436,74,6,30,1506.78,6,1
437,177,6,5,1553.46,6,0
438,1910,40,2,2422.77,8,0
439,14,48,4,126.07,3,0
440,586,2,35,25558.24,31,1
441,38,5,10,349.74,3,0
442,2239,11,18,188719.18,50,1
443,8,41,1,75.48,1,0
444,2698,6,8,18910.46,6,0
445,251,25,12,6396.41,12,0
446,234,3,18,6135.49,17,1
447,25,11,1,801.16,4,0
448,337,4,19,10834.76,20,1
449,323,13,12,8296.07,20,1
450,157,18,9,3905.25,12,0
451,90,7,9,2035.3,8,0
452,416,5,11,17686.6,27,1
453,448,66,2,40820.38,20,0
454,474,5,13,23913.99,24,1
455,16,32,3,281.0,4,0
456,286,4,14,2976.59,8,1
457,132,6,6,3168.52,17,0
458,50,14,2,356.75,2,0
459,26,13,3,489.99,3,0
460,266,5,6,21568.99,8,0
461,2880,3,9,11446.08,1,0
462,505,25,5,8007.42,5,0
463,15,42,2,689.94,5,0
464,226,5,8,4968.72,15,0
465,194,4,15,4965.93,18,1
466,6,14,1,49.99,1,0
467,130,3,12,2930.69,10,1
